date,temperature,precipitation,flow,level
2023/1/1,5.3,0,32.02,0.68
2023/1/2,5.2,0,32.02,0.68
2023/1/3,3.5,0,32.02,0.68
2023/1/4,3.5,0,31.79,0.68
2023/1/5,4.4,0,31.4,0.67
2023/1/6,5.2,0,31.5,0.67
2023/1/7,7,3.5,31.97,0.68
2023/1/8,5.4,0,32.2,0.68
2023/1/9,6.9,0,32.94,0.69
2023/1/10,9.5,0,32.68,0.69
2023/1/11,8,0,32.62,0.69
2023/1/12,10.4,0.5,31.74,0.68
2023/1/13,13.6,29.5,32.06,0.68
2023/1/14,15.7,22.5,62.59,0.91
2023/1/15,12.7,0.5,40.65,0.77
2023/1/16,8.7,1,38.38,0.75
2023/1/17,6.8,0,32.55,0.68
2023/1/18,5.4,0.5,32.81,0.69
2023/1/19,5.7,0,32.97,0.7
2023/1/20,6.4,0,32.32,0.68
2023/1/21,4.5,0,31.77,0.68
2023/1/22,4.2,10.5,32.31,0.68
2023/1/23,7.5,3.5,37.23,0.73
2023/1/24,1.1,2,33.28,0.7
2023/1/25,-1.1,0,31.45,0.67
2023/1/26,1.6,0,30.91,0.66
2023/1/27,3.2,0,31.66,0.67
2023/1/28,1.2,0,31.94,0.68
2023/1/29,2.9,0,31.43,0.67
2023/1/30,4.6,1,32.36,0.69
2023/1/31,3.8,0,32.02,0.68
2023/2/1,8.5,0,32.26,0.68
2023/2/2,8.5,0,32.92,0.69
2023/2/3,6.7,0,33.29,0.7
2023/2/4,5.7,0,33.1,0.7
2023/2/5,5.8,0,32.73,0.69
2023/2/6,6.2,4,32.65,0.69
2023/2/7,8.9,7,40.43,0.76
2023/2/8,8.9,0,39.76,0.76
2023/2/9,8.4,0,36.91,0.74
2023/2/10,9.1,8.5,40.58,0.77
2023/2/11,9.3,0,35.66,0.73
2023/2/12,10.9,12,34.79,0.72
2023/2/13,10.6,3,56.81,0.88
2023/2/14,8.1,0,47.26,0.82
2023/2/15,5.7,0,44.59,0.8
2023/2/16,6.1,0,39.79,0.76
2023/2/17,7.6,0,36.46,0.73
2023/2/18,12.3,6,38.05,0.75
2023/2/19,12.4,19.5,64.24,0.92
2023/2/20,7.9,0,64.39,0.93
2023/2/21,5.9,0,51.71,0.85
2023/2/22,6.9,0,46.79,0.81
2023/2/23,10,0,46.14,0.81
2023/2/24,9.1,4.5,43.17,0.79
2023/2/25,6.8,0.5,40.66,0.77
2023/2/26,7.1,0,36.86,0.74
2023/2/27,7.3,0,35.4,0.72
2023/2/28,9.7,0,33.96,0.71
2023/3/1,12.2,15,36.32,0.73
2023/3/2,7.6,0,38.54,0.75
2023/3/3,7.1,0,33.16,0.7
2023/3/4,10.5,0,32.36,0.69
2023/3/5,10.5,0,31.5,0.67
2023/3/6,10.2,0,31.53,0.67
2023/3/7,10.9,0,32.02,0.68
2023/3/8,12.2,0,32.65,0.69
2023/3/9,13.3,7,32.65,0.69
2023/3/10,16.3,0,31.68,0.67
2023/3/11,16.5,0,32.65,0.69
2023/3/12,15.3,8.5,34.23,0.71
2023/3/13,8,0,37.17,0.74
2023/3/14,9.4,0,33.05,0.7
2023/3/15,14,0,32.6,0.69
2023/3/16,15.6,0,33.29,0.7
2023/3/17,13.8,10,33.95,0.71
2023/3/18,12.3,3.5,41.78,0.77
2023/3/19,12.2,0,31.89,0.68
2023/3/20,12.8,0.5,32.21,0.68
2023/3/21,14.3,33,52.48,0.83
2023/3/22,19,0.5,69.09,0.96
2023/3/23,17.7,22.5,52.37,0.85
2023/3/24,16.1,2,46.41,0.81
2023/3/25,15.3,1.5,50.99,0.84
2023/3/26,12.8,12,73.18,0.98
2023/3/27,12.7,0,63.13,0.92
2023/3/28,13.4,0,51.13,0.84
2023/3/29,13.2,0,44.81,0.8
2023/3/30,14.2,0,40.94,0.77
2023/3/31,17.6,0,38.04,0.75
2023/4/1,18.1,0,35.75,0.73
2023/4/2,17.2,0,33.64,0.7
2023/4/3,16.8,0,32.76,0.69
2023/4/4,17.7,0,35.11,0.72
2023/4/5,16.5,11.5,33.68,0.7
2023/4/6,16.5,8,33.05,0.7
2023/4/7,14.2,23,63.59,0.91
2023/4/8,12.2,0,53.34,0.86
2023/4/9,12.4,0,44.72,0.8
2023/4/10,14,0,41.05,0.77
2023/4/11,17.7,0,40.09,0.76
2023/4/12,16.7,20,45.37,0.8
2023/4/13,15.9,0,40.57,0.77
2023/4/14,13.8,20.5,42.31,0.78
2023/4/15,15.6,19.5,99.61,1.12
2023/4/16,15.5,0.5,96.61,1.11
2023/4/17,15,0,75.12,0.99
2023/4/18,18.5,0,64.09,0.93
2023/4/19,21.7,0,59.63,0.9
2023/4/20,22.7,1.5,55.93,0.88
2023/4/21,19.9,0,54.57,0.87
2023/4/22,17,0,49.65,0.83
2023/4/23,16.8,0,48.16,0.82
2023/4/24,14.5,0,49.06,0.83
2023/4/25,12.7,33,50.1,0.84
2023/4/26,15.6,4.5,84.41,1.04
2023/4/27,15.8,0,55.3,0.87
2023/4/28,18.9,0,51.68,0.85
2023/4/29,17.8,66,79.24,1
2023/4/30,16.7,0.5,128.04,1.25
2023/5/1,16.8,0,85.5,1.05
2023/5/2,17.9,0,71.37,0.97
2023/5/3,19.3,0,63.83,0.93
2023/5/4,18.4,5.5,61.43,0.91
2023/5/5,21.3,0,60.65,0.91
2023/5/6,19.8,69.5,102.74,1.09
2023/5/7,15.7,61,855.1,3.01
2023/5/8,16.3,0,464.01,2.24
2023/5/9,18,0,181.57,1.47
2023/5/10,18.6,0,110.68,1.18
2023/5/11,20.8,0,91.77,1.09
2023/5/12,21,0,78.47,1.01
2023/5/13,16.7,17.5,72.94,0.98
2023/5/14,19.8,0,73.85,0.99
2023/5/15,20.7,0,62.16,0.92
2023/5/16,22.1,0,56.01,0.88
2023/5/17,23.5,0,55.38,0.87
2023/5/18,20,2,53.54,0.86
2023/5/19,19,19.5,56.9,0.88
2023/5/20,21,0,53.36,0.86
2023/5/21,22.1,0,47.87,0.82
2023/5/22,20.3,0,46.9,0.81
2023/5/23,20.3,0,44.3,0.79
2023/5/24,19.7,0,42.89,0.78
2023/5/25,21.7,0,40.88,0.77
2023/5/26,23.2,0,41.04,0.77
2023/5/27,24.9,0,39.87,0.76
2023/5/28,25.5,0,39.03,0.75
2023/5/29,25.2,0.5,42.9,0.78
2023/5/30,22.5,42.5,84.28,1.01
2023/5/31,21.8,35.5,405.57,2.13
2023/6/1,23.9,7.5,155.29,1.36
2023/6/2,24.1,2.5,139.3,1.31
2023/6/3,23.2,0,113.55,1.19
2023/6/4,22.7,0,86.25,1.06
2023/6/5,22.1,0,74.52,0.99
2023/6/6,18.7,25,102.41,1.13
2023/6/7,23.4,0,100.19,1.13
2023/6/8,19.4,27,158.38,1.35
2023/6/9,22.4,0,194.83,1.52
2023/6/10,22.4,1,131.28,1.27
2023/6/11,24.4,0,84.96,1.05
2023/6/12,26.6,0,68.54,0.96
2023/6/13,25.7,0,63.31,0.92
2023/6/14,24.4,0,55.9,0.88
2023/6/15,23.8,3,59.4,0.9
2023/6/16,24.7,0,65.4,0.94
2023/6/17,25.6,0,58.41,0.89
2023/6/18,24.6,0,55.07,0.87
2023/6/19,26.2,0,52.75,0.85
2023/6/20,27.3,0,48.57,0.83
2023/6/21,22.8,28,57.01,0.88
2023/6/22,24.7,0.5,43.05,0.78
2023/6/23,24.5,0,34.13,0.71
2023/6/24,25.6,0,29.92,0.65
2023/6/25,23.8,35.5,32.42,0.67
2023/6/26,26.1,4,46.57,0.81
2023/6/27,27,22.5,37.31,0.74
2023/6/28,26.6,7,74.16,0.96
2023/6/29,26.5,26,123.23,1.23
2023/6/30,25.5,143,1536.06,3.84
2023/7/1,25.3,28,2038.33,4.61
2023/7/2,26.6,27.5,626.45,2.56
2023/7/3,24.7,205.5,1755.95,4.18
2023/7/4,26.8,1,525.26,2.38
2023/7/5,26.6,13,324.36,1.92
2023/7/6,27.7,0,242.93,1.68
2023/7/7,27.4,32.5,354.78,1.94
2023/7/8,27.2,9.5,345.04,1.98
2023/7/9,26.8,89,1064.74,3.33
2023/7/10,25,170,2192.99,4.69
2023/7/11,28.6,0,569.12,2.49
2023/7/12,26.8,78.5,331.98,1.94
2023/7/13,28.1,8.5,240.02,1.67
2023/7/14,27.9,0,189.17,1.5
2023/7/15,28.9,4,152.88,1.36
2023/7/16,29.9,0,132.65,1.28
2023/7/17,30.5,0,114.68,1.2
2023/7/18,29.9,2,110.15,1.18
2023/7/19,28,19.5,118.63,1.21
2023/7/20,27.6,0,113.13,1.19
2023/7/21,28.4,0,92.41,1.09
2023/7/22,29.6,0,87.67,1.06
2023/7/23,29.4,0,72.98,0.98
2023/7/24,29.1,0.5,79.96,1.02
2023/7/25,28.5,0,96.17,1.1
2023/7/26,30.4,0.5,87.64,1.06
2023/7/27,30.3,0,68.05,0.95
2023/7/28,30.5,0,57.74,0.89
2023/7/29,30.4,0,50.59,0.84
2023/7/30,29.5,0,53.31,0.85
2023/7/31,29.8,0,50.23,0.84
2023/8/1,31.4,0,46.6,0.81
2023/8/2,30.6,0,43.24,0.78
2023/8/3,31.5,1,39.77,0.76
2023/8/4,31.5,0,38.98,0.75
2023/8/5,31.5,0,36.46,0.73
2023/8/6,32.1,0,34.94,0.72
2023/8/7,30.5,0,40.68,0.77
2023/8/8,29.9,2.5,46.25,0.81
2023/8/9,28.1,41.5,139.38,1.27
2023/8/10,27.9,20,181.57,1.42
2023/8/11,29.8,0,64.51,0.93
2023/8/12,29.2,0,55.78,0.87
2023/8/13,29.5,0,44.65,0.8
2023/8/14,29.6,0,39.35,0.76
2023/8/15,27.9,0,35.6,0.73
2023/8/16,28.8,0,35.77,0.73
2023/8/17,27.7,18,70.19,0.91
2023/8/18,28.1,0.5,62.38,0.92
2023/8/19,29.9,0,47.33,0.81
2023/8/20,30.9,0,35.87,0.73
2023/8/21,29.9,1,36.25,0.72
2023/8/22,30.5,0,33.13,0.69
2023/8/23,29.4,0,36.21,0.73
2023/8/24,29.8,0,35.7,0.72
2023/8/25,28.2,0,51.42,0.84
2023/8/26,28.9,0,39.61,0.76
2023/8/27,28.6,7.5,43.16,0.78
2023/8/28,29.9,0,40.27,0.76
2023/8/29,30.3,0,43.38,0.79
2023/8/30,29,2,33.79,0.71
2023/8/31,28.1,0,40.56,0.76
2023/9/1,25.4,6.5,40.3,0.76
2023/9/2,27.5,0,34.87,0.72
2023/9/3,29.6,0,31.84,0.68
2023/9/4,29.5,0,30.1,0.65
2023/9/5,27.1,9,28.67,0.63
2023/9/6,27.1,0.5,29.88,0.65
2023/9/7,27.8,0,28.95,0.63
2023/9/8,27.3,0,28.4,0.62
2023/9/9,27.4,0,27.16,0.6
2023/9/10,26.3,5,28.63,0.62
2023/9/11,26.4,0,30.91,0.66
2023/9/12,27.9,0,32.43,0.68
2023/9/13,27.8,0.5,28.35,0.62
2023/9/14,26.2,17.5,30.72,0.66
2023/9/15,27.9,1,29.03,0.63
2023/9/16,28.8,0,27.01,0.6
2023/9/17,25.2,7,25.35,0.57
2023/9/18,26.3,1.5,24.96,0.56
2023/9/19,27.7,1,25.33,0.57
2023/9/20,27.6,0,25.47,0.57
2023/9/21,27.1,5,27.38,0.6
2023/9/22,23.7,9,27.43,0.6
2023/9/23,25,0,27.73,0.61
2023/9/24,24.8,0,26.15,0.58
2023/9/25,26.5,0,25.55,0.57
2023/9/26,28.1,0,26.62,0.59
2023/9/27,27.1,0,25.84,0.58
2023/9/28,25.6,0,25.05,0.56
2023/9/29,25.9,0,25.54,0.57
2023/9/30,25.4,0,25.14,0.56
2023/10/1,23.6,0,25.23,0.57
2023/10/2,22.1,0,24.82,0.56
2023/10/3,22.1,0,26.21,0.58
2023/10/4,23.5,0,27.78,0.61
2023/10/5,20.5,0,28.7,0.63
2023/10/6,19.3,0,28.01,0.61
2023/10/7,20.6,0,28.55,0.62
2023/10/8,16.7,22.5,31.85,0.67
2023/10/9,20.6,2.5,32.23,0.68
2023/10/10,21.1,0,29.27,0.64
2023/10/11,20.9,0,27.66,0.61
2023/10/12,19.3,0,29.54,0.64
2023/10/13,20.4,0,29.19,0.63
2023/10/14,20.7,0,28.96,0.63
2023/10/15,18.7,0,28.89,0.63
2023/10/16,19.5,0,28.69,0.63
2023/10/17,19,0,28.18,0.62
2023/10/18,19,0,28.7,0.63
2023/10/19,19.3,0,29.45,0.64
2023/10/20,17,1,31.58,0.67
2023/10/21,14.4,0,30.02,0.65
2023/10/22,15.9,0,29.29,0.64
2023/10/23,17.2,0,29.35,0.64
2023/10/24,16.7,0,30.75,0.66
2023/10/25,17.5,0,29.52,0.64
2023/10/26,17.2,0,28.22,0.62
2023/10/27,17.1,2,29.07,0.63
2023/10/28,17.4,0,29.57,0.64
2023/10/29,15.8,0,30.48,0.66
2023/10/30,15.7,0,28.94,0.63
2023/10/31,15.9,0,29.71,0.64
2023/11/1,16.8,0,29.82,0.64
2023/11/2,18.1,0,30.42,0.65
2023/11/3,18.8,0,30.17,0.65
2023/11/4,20.2,0,30.17,0.65
2023/11/5,21.7,0,30.17,0.65
2023/11/6,20.3,17.5,30.48,0.65
2023/11/7,16,0,29.5,0.64
2023/11/8,14.8,0,30.55,0.66
2023/11/9,18.6,0,30.2,0.65
2023/11/10,16.9,7,30.37,0.65
2023/11/11,15.5,0,30.35,0.65
2023/11/12,12.2,0,31.81,0.68
2023/11/13,9.9,0,31.92,0.68
2023/11/14,10.1,0,30.91,0.66
2023/11/15,11.8,0,32.86,0.69
2023/11/16,11.1,14.5,32.57,0.69
2023/11/17,10.1,1.5,32.89,0.69
2023/11/18,8.3,2,32.63,0.69
2023/11/19,11.3,0,32.18,0.68
2023/11/20,12.5,0,30.89,0.66
2023/11/21,12.1,0,30.65,0.66
2023/11/22,14.2,0,32.26,0.68
2023/11/23,17.3,0,32.76,0.69
2023/11/24,11.5,0,32.76,0.69
2023/11/25,8.5,0,32.2,0.68
2023/11/26,10.5,0,31.97,0.68
2023/11/27,13.2,2.5,32.18,0.68
2023/11/28,11.9,0,33.24,0.7
2023/11/29,10.7,0,32.49,0.69
2023/11/30,9.8,0,32.15,0.68
2023/12/1,7.6,0,31.92,0.68
2023/12/2,7.4,0,31.45,0.67
2023/12/3,8.1,0,32.28,0.68
2023/12/4,6,0,32.94,0.69
2023/12/5,13.1,0,32.97,0.7
2023/12/6,10.9,0,32.68,0.69
2023/12/7,11,0,32.47,0.69
2023/12/8,9.4,0,32.76,0.69
2023/12/9,13.7,0,32.65,0.69
2023/12/10,14.9,0,32.78,0.69
2023/12/11,15.6,12.5,33.57,0.7
2023/12/12,15.6,0,33.74,0.71
2023/12/13,13.5,0,32.76,0.69
2023/12/14,12.9,3.5,32.6,0.69
2023/12/15,18.2,1,32.76,0.69
2023/12/16,10.2,2.5,33.08,0.7
2023/12/17,3.9,0,32.05,0.68
2023/12/18,4.1,0,32.36,0.69
2023/12/19,5.3,1,33.18,0.7
2023/12/20,6.2,0,33.37,0.7
2023/12/21,2.1,1,33.13,0.7
2023/12/22,0.8,1.5,32.31,0.68
2023/12/23,1.9,0,32.31,0.68
2023/12/24,4.2,0,32.05,0.68
2023/12/25,5.1,0,32.42,0.69
2023/12/26,5.9,0,31.89,0.68
2023/12/27,7.8,0,31.82,0.68
2023/12/28,8,0,31.68,0.67
2023/12/29,8.5,0,31.84,0.68
2023/12/30,8.4,0,32.97,0.7
2023/12/31,10.7,10,32.71,0.69